Category,Label,Originated_By,Source,Text
politics war economy health etc ,0,no on 56 campaign,poltifact,california propose tobacco tax diverts 82 percent new tax line pocket wealthy special interest like insurance company help even one patient
covid19 news,1,bbc,bbc,confirmatory pcr positive lft halt decision make help manage capacity test facility state say
politics war economy health etc ,0,lesley cohen,poltifact,bad enough stephen silberkraus appear sexual fetish film woman kidnap home force live naked kennel train pet silberkraus act film degrade woman stalk personal time
politics war economy health etc ,1,barack obama,poltifact,send billion dollar foreign country every day addiction foreign oil
politics war economy health etc ,0,rosemary lehmberg,poltifact,say create first felony defer prosecution program nonviolent first offender texas
politics war economy health etc ,0,chris murphy,poltifact,assault weapon supreme court nominee brett kavanaugh position way judicial mainstream far right even late justice scalia
politics war economy health etc ,0,facebook posts,poltifact,bodyguard high rank democrat congress fire shot kill ashli babbitt jan
indian news,1,the hindu,the hindu,love farm george state farmer award year feel youngster take agriculture
politics war economy health etc ,1,mary landrieu,poltifact,canada spill water practice event would happen allow united state
politics war economy health etc ,0,we are milwaukee,poltifact,say million dollar tax break paid bust union cut badgercare raise tax poor middle class thanks elizabeth coggs help
technology news,1,bbc,bbc,arctic monkey among reading leeds headliner megan thee stallion dave among artist line next year festival
indian news,1,the hindu,the hindu,pipe lay work make slow progress high water table delay shift electric pole cause delay
politics war economy health etc ,0,marco rubio,poltifact,say question financial skill cnbc debate include discredit attack democrat political opponent
politics war economy health etc ,0,eric cantor,poltifact,say congressional budget office report spending house democrat economic stimulus conclude stimulus help economy grow
politics war economy health etc ,0,maria bartiromo,poltifact,result obamacare become something part time employment country
science,1,nbc news,nbc news,new rule company climate risk propose sec number investor seek information risk related global warm grown dramatically recent year
politics war economy health etc ,0,don beyer,poltifact,trade agreement 20 country trade surplus one 20
politics war economy health etc ,0,donald trump,poltifact,world health organization admit right lockdown kill country world cure can not bad problem
politics war economy health etc ,0,brett bittner,poltifact,taxpayer subsidize 80 percent marta trip
covid19 news,1,bbc,bbc,need plan live covid labour
politics war economy health etc ,0,facebook posts,poltifact,quote thomas jefferson say government big enough give everything want strong enough take everything
politics war economy health etc ,0,steve latourette,poltifact,billion infrastructure investment 42 000 job create
technology news,1,bbc,bbc,call duty stay playstation microsoft big new deal raise question future shooter video game franchise
indian fake news,0,times of india,times of india,fake alert december 2019 video rahul priyanka share claim flout covid 19 lockdown
politics war economy health etc ,0,bloggers,poltifact,obama say america great let try change
politics war economy health etc ,0,roy cooper,poltifact,pat mccrory north carolina fall 41st teacher pay
politics war economy health etc ,0,pat mccrory,poltifact,say 75 third grader year class reading third grade level catch 80 chance graduate
politics war economy health etc ,0,john kasich,poltifact,development director seven month
climate news,1,bbc,bbc,climate change wale chart quick guide state wale climate change challenge
covid19 news,1,bbc,bbc,see daughter much pain kill
politics war economy health etc ,0,facebook posts,poltifact,wladimir klitschko auction 1996 atlanta olympic game gold medal raise money child ukraine
technology news,1,bbc,bbc,hollyoaks star axed fan photo sarah jayne dunn play mandy tv soap refuse stop offering photo subscription
business news,1,bbc,bbc,ladbrokes owner repays furlough outcry business reporter bbc news
politics war economy health etc ,0,todd staples,poltifact,saving achieve help fund camera border result 21 500 arrest make 46 ton narcotic confiscate
indian news,1,the hindu,the hindu,iffk 2022 quirk world see kid boomba ride dostojee make low budget untrained actor leave mark
politics war economy health etc ,0,instagram posts,poltifact,ship stuck suez canal plan stag event
politics war economy health etc ,0,susan sosnowski,poltifact,lyme disease one fast grow infectious disease united state rhode island second high incidence disease country
politics war economy health etc ,0,facebook posts,poltifact,runnerup caitlyn jenner espn arthur ashe courage award army veteran noah galloway lose arm leg roadside bomb iraq
business news,1,bbc,bbc,nh blood test tube shortage set worsen business reporter bbc news
technology news,1,bbc,bbc,robot artist release egyptian border guard authority held robot 10 day fear may hiding covert spy tool
politics war economy health etc ,1,newt gingrich,poltifact,percent muslim pakistan view isi favorably unfortunately percent 16 million people one country
politics war economy health etc ,0,dick cheney,poltifact,georgia russia conflict flew brigade georgian soldier iran georgia sent ship black sea provide various kind supply
politics war economy health etc ,0,sean duffy,poltifact,republican replacement obamacare give massive tax cut wealthy american
politics war economy health etc ,0,david lewis,poltifact,gov roy cooper file nearly one lawsuit month every single one attempt extend power
climate news,1,bbc,bbc,global warm link colder winter u new study connects heating arctic region extreme winter weather u
politics war economy health etc ,0,roy cooper,poltifact,say north carolina give taxpayer dollar private school really know school perform
indian news,1,the hindu,the hindu,hc notice delhi police sharjeel imam fresh bail plea court hint inclined grant relief seek reply
politics war economy health etc ,0,nevada republican party,poltifact,republican nevada found least 062 instance voter fraud thousand individual identify appear violate law cast ballot move nv
indian news,1,the hindu,the hindu,tn budget govt set advanced early warn system weather prediction allocation 10 crore make system include super computer weather balloon radar rain gauge device
politics war economy health etc ,0,facebook posts,poltifact,500 000 mail ballot virginia 200 000 nevada sent dead people pet
asian news,1,bbc,bbc,baby centre major indian scandal mother search miss baby india cause outrage whip political storm
technology news,1,bbc,bbc,electric truck maker rivian raise almost 12bn amazon back rivian say sell share 78 well target range
politics war economy health etc ,0,ted cruz,poltifact,say barack obama begin presidency go worldwide apology tour
ukraine russia war,1,bbc,bbc,woman arrives uk flee big horror mariia surushkina join mother derby grandmother still ukraine
politics war economy health etc ,0,dan forest,poltifact,governor cooper propose bill repeal hb2 becomes law create state sanction look touch policy bathroom
indian news,1,the hindu,the hindu,hc notice govt plea certain new building norm exist school bengaluru
politics war economy health etc ,0,chris christie,poltifact,appoint attorney president bush sept 10 2001
politics news,1,abc news,abc news,question resume confirmation hearing judge jackson senior fellow american enterprise institute adam white discus think judge jackson philosophy far view court role society
politics war economy health etc ,0,chain message,poltifact,say special military helicopter spray pesticide corona virus sky country
politics war economy health etc ,0,barack obama,poltifact,henry kissinger say meet iran guess without precondition
technology news,1,bbc,bbc,crypto money laundering rise 30 report find cyber criminal launder 6bn 4bn worth cryptocurrency 2021 new report suggests
politics war economy health etc ,0,viral image,poltifact,lawyer couple point gun protester black life matter backer democrat represent police brutality victim
politics war economy health etc ,1,mitch mcconnell,poltifact,give propose economic stimulus plan perspective start day jesus christ born spent million every day since still spent trillion
politics war economy health etc ,0,john lee,poltifact,study state 70 percent traffic sellwood bridge clackamas county thoroughly debunked oregonian
politics war economy health etc ,0,jeff williams,poltifact,new apple watch series include first ecg product offer counter directly consumer
ukraine russia war,1,bbc,bbc,parent return holiday find son war scottish garage owner adam ennis 35 join international platoon 50 men ukraine
indian news,1,the hindu,the hindu,andhra pradesh fresh case report situation control say godavari collector action take spread rumour
indian news,1,the hindu,the hindu,fill job vacancy nov demand revanth 91 lakh vacancy
politics war economy health etc ,0,sylvia romo,poltifact,lloyd doggett make million company like bank america take taxpayer bailout money
politics war economy health etc ,1,michele bachmann,poltifact,1993 newt gingrich first advocate individual mandate health care recently may year still advocate
politics war economy health etc ,0,paul ryan,poltifact,twenty percent single adult age 21 25 kid work even school try find job
politics war economy health etc ,1,john bel edwards,poltifact,say david vitter answer prostitute call minute skip vote honor 28 soldier give life defense freedom
politics war economy health etc ,1,barack obama,poltifact,even today part romney fortune invest china
politics war economy health etc ,0,donald trump,poltifact,philadelphia murder steady mean terribly increase
politics war economy health etc ,0,bloggers,poltifact,barack obama appear video whoomp
politics war economy health etc ,0,bloggers,poltifact,say gen david berger commandant marine corp refuse nancy pelosi request use marine inauguration security tell work
climate news,1,bbc,bbc,silver bullet solution save use planet scientist issue stark warn need make hard choice way use land
politics war economy health etc ,0,tiktok posts,poltifact,military reinstate draft woman include
politics war economy health etc ,0,scott walker,poltifact,project billion state budget shortfall 2015 17 actually come assumption base zero growth happen
politics war economy health etc ,0,bloggers,poltifact,say new york time report hillary clinton george soros paid woman accuse trump sexual attack
politics war economy health etc ,0,viral image,poltifact,patient discharge document prof cdc recommend healthy people wear mask
politics war economy health etc ,0,mike pence,poltifact,10 cent dollar clinton foundation go charitable cause
politics war economy health etc ,0,donald trump,poltifact,obama administration borrow 10 trillion right yet picked trillion stock market maybe sense reduce debt
politics war economy health etc ,0,sonny perdue,poltifact,ease school lunch regulation reduce nutritional standard whatsoever
politics war economy health etc ,0,sheri gallo,poltifact,alison alter get attendance 2016 austin park board member remove unanimous vote austin city council
politics war economy health etc ,1,george allen,poltifact,take credit substantially reduce size state workforce
business news,1,bbc,bbc,boeing agrees deal ethiopia crash family
politics war economy health etc ,1,rebecca kleefisch,poltifact,wisconsin second last midwest vaccination rate governor say satisfied
politics war economy health etc ,0,donald trump,poltifact,say obama administration sell perhaps best locate fine embassy london build new one location billion dollar
politics war economy health etc ,0,megyn kelly,poltifact,new colorado law literally allows resident print ballot home computer encourages turn ballot collector
politics war economy health etc ,0,facebook posts,poltifact,say george soros s national socialist german worker party nazi party
indian news,1,the hindu,the hindu,kcr free enhance quota say laxman cm instead drag centre shift blame
politics war economy health etc ,0,chris abele,poltifact,say david clarke reduce number milwaukee county sheriff deputy 700 something 300 something
politics war economy health etc ,0,barack obama,poltifact,thirty million american include lot people florida go able get healthcare next year law
indian news,1,the hindu,the hindu,return class without hijab say petitioner girl student mangaluru
politics war economy health etc ,0,zack space,poltifact,bill save teacher job completely paid closing corporate tax loophole
politics war economy health etc ,0,johnny isakson,poltifact,keystone oil pipeline would employ 20 000 people united state
politics war economy health etc ,0,erica smith,poltifact,say beating democratic opponent cal cunningham also first black female u senate candidate beating incumbent senator thom tillis every poll gate
ukraine russia war,1,bbc,bbc,picture war suffer defiance ukraine image russia invasion ukraine show conflict turn deadlier nearly three week
politics war economy health etc ,0,facebook posts,poltifact,walgreens refrigerator scan shopper hand forehead mark beast mark later able buy
politics war economy health etc ,1,lamar smith,poltifact,national science foundation award 700 000 fund climate change musical
politics war economy health etc ,0,don blankenship,poltifact,say illegal immigration cost u 130 billion year house feed give benefit people even country
politics war economy health etc ,1,bill posey,poltifact,president promise close space gap seem intent repeat event create space gap first place put place new rocket design try underfund effort
politics war economy health etc ,1,mike haridopolos,poltifact,first time party picked multiple seat regular election since mid 1980s make large majority party 25 year
politics war economy health etc ,1,sarah palin,poltifact,oil gas price sent state revenue palin sent large share revenue directly back people alaska
politics war economy health etc ,0,viral image,poltifact,new autopsy report suggest jeffrey epstein likely die covid 19 complication
politics war economy health etc ,0,bloggers,poltifact,miami dolphin fire kneel player pre season kickoff
indian news,1,the hindu,the hindu,transformation college engineering survey school start eight student become college engineering guindy
politics war economy health etc ,0,kelda helen roys,poltifact,say political interference scott walker administration lead gag dnr scientist longer comment propose legislation let polluter write permit
politics war economy health etc ,0,gary johnson,poltifact,pentagon say could eliminate 20 percent base
politics war economy health etc ,0,rick perry,poltifact,say president barack obama socialist
politics war economy health etc ,1,facebook posts,poltifact,federal law require people speak english naturalize american citizen
usa news,1,cbs news,cbs news,hiker found dead montana likely kill grizzly bear sheriff say grizzly kill least eight people yellowstone region since 2010
indian news,1,the hindu,the hindu,man slit wife throat sleep attempt suicide bengaluru
covid19 news,1,bbc,bbc,one covid related death 908 case total number death link virus report stormont department health 208
politics war economy health etc ,0,viral image,poltifact,graph show number human traffic arrest increase dramatically president donald trump
business news,1,bbc,bbc,toyota profit fall chip shortage hit carmaker
technology news,1,bbc,bbc,meta move tackle creepy behaviour vr woman describe experience firm behind virtual reality platform
politics war economy health etc ,0,jeff wagner,poltifact,state wisconsin think wash hand least 28 time make one peanut butter jelly sandwich
politics war economy health etc ,0,jake laturner,poltifact,keystone xl pipeline would produce 830 000 barrel oil per day enough offset import russia
politics war economy health etc ,0,bloggers,poltifact,say cnn host fareed zakaria call jihad rape white woman
politics war economy health etc ,0,americans for prosperity,poltifact,president barack obama give half billion taxpayer money help friend solyndra business white house knew path bankruptcy
politics war economy health etc ,0,steve stockman,poltifact,john cornyn back pal david dewhurst senate ted cruz
politics war economy health etc ,1,bill clinton,poltifact,obama accept donation lobbyist pac spent money campaign political action committee
politics war economy health etc ,0,bob hall,poltifact,several hundred teacher 100 year old read recently baby born today age expectancy 110 least
politics war economy health etc ,0,jeb hensarling,poltifact,sweetheart deal member congress thanks obama administration go people america get subsidy obamacare exchange
politics war economy health etc ,0,charlie crist,poltifact,say marco rubio sell home chiropractor lobbying automobile insurance legislation sell home 380 000 cash speaker position issue change
politics war economy health etc ,1,tom cotton,poltifact,president barack obama strike nuclear deal iran next president could revoke executive agreement stroke pen future congress could modify term agreement time
business news,1,bbc,bbc,friend thought mad opening shop bbc news online
climate news,1,bbc,bbc,major agreement day cop26 impact africa
politics war economy health etc ,1,vincent  buddy  cianci,poltifact,mayor providence one five renaissance city america accord usa today day money magazine say fifth best city live america addition city almanac say 1994 believe safest city america
politics war economy health etc ,0,donald trump,poltifact,back nato thing terrorism
politics war economy health etc ,0,u s  chamber of commerce,poltifact,say rep tammy baldwin candidate senate support raise tax 858 billion
politics war economy health etc ,0,facebook posts,poltifact,say image show satellite view fire australia
climate news,1,bbc,bbc,protester 82 prepared go jail climate judy bruce swansea protest sit motorway member insulate britain group
politics war economy health etc ,1,marco rubio,poltifact,private company building natural gas pipeline florida force spend month review six federal agency
politics war economy health etc ,1,debbie wasserman schultz,poltifact,president obama border patrol border security deployed border previous president
politics war economy health etc ,1,kim reynolds,poltifact,kid less likely get covid 19 know less likely spread think pretty good data help alleviate concern
ukraine russia war,1,bbc,bbc,home office leave orphan strand blackford down street denies uk government block ukrainian orphan come scotland
politics war economy health etc ,1,mike pence,poltifact,say donald trump county candidate side since ronald reagan
indian news,1,the hindu,the hindu,exercise smoke maoist jharkhand jharkhand population little crore 19 total 90 extremist hit district across india
politics war economy health etc ,0,donald trump,poltifact,do test eight day south korea do eight week
politics war economy health etc ,0,george holding,poltifact,orange county release sex offender instead turn immigration authority like sanctuary city
indian news,1,the hindu,the hindu,iffk audience poll begin tomorrow thiruvananthapuram
indian news,1,the hindu,the hindu,reduction epfo interest rate bjp return gift people follow win assembly election 2022 congress income 84 people country decrease right attack saving crore employee basis electoral victory
politics war economy health etc ,0,hillary clinton,poltifact,regard state department email practice predecessor thing
politics war economy health etc ,0,gil cisneros,poltifact,say california republican young kim tax cheat illegally claimed 000 annual homestead exemption house living multiple tax lien place result owes 10 000 unpaid federal income tax
politics war economy health etc ,0,mike pence,poltifact,real sense oklahoma flatten curve number case oklahoma decline precipitously
politics war economy health etc ,1,gwen moore,poltifact,324 000 pregnant people experience domestic violence pregnancy
politics war economy health etc ,1,rick santorum,poltifact,poll show american overwhelmingly oppose obamacare especially individual mandate
politics war economy health etc ,1,mike fasano,poltifact,little 60 percent electric bill electric bill 60 percent pas throughs whether building nuclear plant whatever may plan nuclear plant repair increase percentage
technology news,1,bbc,bbc,irish health cyber attack could bad report found attack healthcare system far great impact initially expect
politics war economy health etc ,0,hillary clinton,poltifact,go red line syria
politics war economy health etc ,0,tucker carlson,poltifact,dea agent mark ibrahim force job later indict simply near capitol protest jan
politics war economy health etc ,1,bill mitchell,poltifact,last six year state illinois spent 320 million illegal immigrant
politics war economy health etc ,0,mark o mara,poltifact,literally time child 18 year age kill 100 000 people video game online thing
politics war economy health etc ,0,senate majority pac,poltifact,congressman tom cotton arkansan congress democrat republican vote disaster relief five time
indian news,1,the hindu,the hindu,touch centre sri lankan tamil issue stalin chief minister confident find solution issue soon
politics war economy health etc ,1,nathan deal,poltifact,impact 2010 federal health care legislation huge georgia
covid19 news,1,bbc,bbc,essential visit wishaw hospital nh lanarkshire say measure brought due increase covid case
politics war economy health etc ,0,scott walker,poltifact,say tony evers want cut wisconsin prison population half dangerous plan today would mean release thousand violent criminal back community
indian news,1,the hindu,the hindu,four kswdc hostel woman kswdc allocate 35 crore state budget
technology news,1,bbc,bbc,google issue warn location share apps apps could drop play store developer clear personal data share
indian news,1,the hindu,the hindu,tnpcb warns sewage tanker chennai
politics war economy health etc ,0,john cox,poltifact,california gov gavin newsom let 76 000 inmate jail
politics war economy health etc ,1,barack obama,poltifact,chicago school never cancel winter weather
